customer_id,customer_name,city,segment,signup_date
1,Customer_1,Kolkata,Home Office,2022-10-09
2,Customer_2,Pune,Home Office,2024-07-26
3,Customer_3,Hyderabad,Corporate,2023-05-01
4,Customer_4,Kolkata,Corporate,2023-07-19
5,Customer_5,Bangalore,Consumer,2023-12-14
6,Customer_6,Hyderabad,Corporate,2024-03-22
7,Customer_7,Hyderabad,Consumer,2023-06-17
8,Customer_8,Kolkata,Consumer,2022-03-01
9,Customer_9,Delhi,Consumer,2024-07-21
10,Customer_10,Bangalore,Home Office,2024-01-05
11,Customer_11,Kolkata,Corporate,2024-06-15
12,Customer_12,Bangalore,Consumer,2022-05-09
13,Customer_13,Bangalore,Corporate,2022-03-14
14,Customer_14,Hyderabad,Consumer,2022-07-04
15,Customer_15,Pune,Corporate,2024-08-14
16,Customer_16,Bangalore,Corporate,2024-03-14
17,Customer_17,Chennai,Consumer,2023-10-24
18,Customer_18,Hyderabad,Home Office,2024-06-06
19,Customer_19,Delhi,Corporate,2023-02-25
20,Customer_20,Pune,Home Office,2023-06-30
21,Customer_21,Chennai,Home Office,2023-10-26
22,Customer_22,Chennai,Consumer,2023-02-07
23,Customer_23,Delhi,Consumer,2023-08-11
24,Customer_24,Pune,Consumer,2022-09-25
25,Customer_25,Hyderabad,Corporate,2024-01-09
26,Customer_26,Mumbai,Consumer,2022-03-14
27,Customer_27,Pune,Consumer,2023-01-17
28,Customer_28,Delhi,Corporate,2022-05-25
29,Customer_29,Chennai,Corporate,2022-06-03
30,Customer_30,Hyderabad,Consumer,2022-11-15
31,Customer_31,Pune,Consumer,2024-04-12
32,Customer_32,Mumbai,Consumer,2022-07-24
33,Customer_33,Mumbai,Consumer,2022-10-26
34,Customer_34,Bangalore,Home Office,2023-10-02
35,Customer_35,Bangalore,Home Office,2024-06-17
36,Customer_36,Kolkata,Consumer,2023-07-15
37,Customer_37,Delhi,Home Office,2023-01-24
38,Customer_38,Pune,Corporate,2023-10-11
39,Customer_39,Pune,Home Office,2023-10-04
40,Customer_40,Kolkata,Home Office,2022-03-07
41,Customer_41,Chennai,Consumer,2023-03-30
42,Customer_42,Chennai,Home Office,2022-10-02
43,Customer_43,Kolkata,Home Office,2022-09-02
