product_id,product_name,category,sub_category,unit_price
1,Product_1,Electronics,Mobiles,9655
2,Product_2,Electronics,Mobiles,45720
3,Product_3,Electronics,Mobiles,39744
4,Product_4,Electronics,Mobiles,46534
5,Product_5,Electronics,Mobiles,27933
6,Product_6,Electronics,Mobiles,27053
7,Product_7,Electronics,Mobiles,31260
8,Product_8,Electronics,Mobiles,4828
9,Product_9,Electronics,Mobiles,26454
10,Product_10,Electronics,Mobiles,47278
11,Product_11,Electronics,Mobiles,26832
12,Product_12,Electronics,Mobiles,13255
13,Product_13,Electronics,Mobiles,510
14,Product_14,Electronics,Mobiles,43672
15,Product_15,Electronics,Mobiles,29313
16,Product_16,Electronics,Mobiles,46082
17,Product_17,Electronics,Laptops,13916
18,Product_18,Electronics,Laptops,23102
19,Product_19,Electronics,Laptops,26085
20,Product_20,Electronics,Laptops,29270
21,Product_21,Electronics,Laptops,26319
22,Product_22,Electronics,Laptops,23482
23,Product_23,Electronics,Laptops,2680
24,Product_24,Electronics,Laptops,41256
25,Product_25,Electronics,Laptops,9664
26,Product_26,Electronics,Laptops,39278
27,Product_27,Electronics,Laptops,31485
28,Product_28,Electronics,Laptops,26873
29,Product_29,Electronics,Laptops,49233
30,Product_30,Electronics,Laptops,43750
31,Product_31,Electronics,Laptops,12427
32,Product_32,Electronics,Laptops,4378
33,Product_33,Electronics,Accessories,5888
34,Product_34,Electronics,Accessories,6464
35,Product_35,Electronics,Accessories,16671
36,Product_36,Electronics,Accessories,6558
37,Product_37,Electronics,Accessories,35715
38,Product_38,Electronics,Accessories,46316
39,Product_39,Electronics,Accessories,9233
40,Product_40,Electronics,Accessories,24041
41,Product_41,Electronics,Accessories,30383
42,Product_42,Electronics,Accessories,4488
43,Product_43,Electronics,Accessories,35055
44,Product_44,Electronics,Accessories,31866
45,Product_45,Electronics,Accessories,1211
46,Product_46,Electronics,Accessories,34666
47,Product_47,Electronics,Accessories,3844
48,Product_48,Electronics,Accessories,44318
49,Product_49,Furniture,Chairs,1383
50,Product_50,Furniture,Chairs,29454
51,Product_51,Furniture,Chairs,46919
52,Product_52,Furniture,Chairs,31032
53,Product_53,Furniture,Chairs,30937
54,Product_54,Furniture,Chairs,34532
55,Product_55,Furniture,Chairs,8200
56,Product_56,Furniture,Chairs,24678
57,Product_57,Furniture,Chairs,27118
58,Product_58,Furniture,Chairs,3764
59,Product_59,Furniture,Chairs,35722
60,Product_60,Furniture,Chairs,46914
61,Product_61,Furniture,Chairs,49141
62,Product_62,Furniture,Chairs,36968
63,Product_63,Furniture,Chairs,44904
64,Product_64,Furniture,Chairs,40719
65,Product_65,Furniture,Tables,9485
66,Product_66,Furniture,Tables,35741
67,Product_67,Furniture,Tables,22505
68,Product_68,Furniture,Tables,29111
69,Product_69,Furniture,Tables,45241
70,Product_70,Furniture,Tables,23266
71,Product_71,Furniture,Tables,49434
72,Product_72,Furniture,Tables,48315
73,Product_73,Furniture,Tables,19509
74,Product_74,Furniture,Tables,17794
75,Product_75,Furniture,Tables,18123
76,Product_76,Furniture,Tables,47317
77,Product_77,Furniture,Tables,9803
78,Product_78,Furniture,Tables,4599
79,Product_79,Furniture,Tables,18056
80,Product_80,Furniture,Tables,4264
81,Product_81,Furniture,Storage,47962
82,Product_82,Furniture,Storage,45669
